Date,Time ,Location,Flood Level (in)
7/25/2022,14:00,4th Ave/Garfield Place,0.5
8/21/2022,20:00,4th Ave/Garfield Place,15
8/24/2022,20:00,4th Ave/Garfield Place,46.8
8/28/2022,2:00,4th Ave/Garfield Place,0.7
9/2/2022,20:00,4th Ave/Garfield Place,46.9
9/5/2022,14:00,4th Ave/Garfield Place,22.9
9/6/2022,20:00,4th Ave/Garfield Place,13.9
9/12/2022,14:00,4th Ave/Garfield Place,46.6
9/30/2022,20:00,4th Ave/Garfield Place,46.9
10/1/2022,20:00,4th Ave/Garfield Place,46.9
10/16/2022,14:00,4th Ave/Garfield Place,46.6
11/26/2022,1:00,4th Ave/Garfield Place,46.6
11/26/2022,19:00,4th Ave/Garfield Place,46.7
11/27/2022,13:00,Hoyt St/5th St,9.3
10/26/2021,8:00,Hoyt St/5th St,2.2
11/4/2021,8:00,Hoyt St/5th St,1.1
11/5/2021,8:00,Hoyt St/5th St,0.8
9/13/2022,2:00,Hoyt St/5th St,7.1
9/25/2022,20:00,Hoyt St/5th St,3.1
10/10/2022,2:00,Hoyt St/5th St,1.8
11/2/2022,20:00,Hoyt St/5th St,0.5
11/9/2022,19:00,Hoyt St/5th St,0.8
11/15/2022,19:00,Hoyt St/5th St,0.7
11/27/2022,13:00, Lorraine St/Henry St,0.7
4/18/2022,20:00, Lorraine St/Henry St,0.8
5/14/2022,20:00, Lorraine St/Henry St,0.8
7/4/2022,2:00, Lorraine St/Henry St,0.7
7/8/2022,14:00, Lorraine St/Henry St,3.8
7/11/2022,2:00, Lorraine St/Henry St,0.7
7/12/2022,2:00, Lorraine St/Henry St,0.7
7/24/2022,2:00, Lorraine St/Henry St,0.9
7/25/2022,14:00, Lorraine St/Henry St,5.6
7/26/2022,8:00,Van Brunt St/Reed St,0.6
8/16/2022,8:00,Van Brunt St/Reed St,0.5
8/18/2022,2:00,Van Brunt St/Reed St,1.1
8/21/2022,2:00,Van Brunt St/Reed St,0.6
8/24/2022,2:00,Van Brunt St/Reed St,0.6
8/26/2022,14:00,Van Brunt St/Reed St,0.6
8/29/2022,20:00,Van Brunt St/Reed St,0.5
8/30/2022,2:00,Van Brunt St/Reed St,0.5
8/31/2022,2:00,Van Brunt St/Reed St,0.5
9/13/2022,2:00,Van Brunt St/Reed St,4.9
10/13/2022,8:00,Van Brunt St/Reed St,0.7
11/4/2022,8:00,Pioneer St/Conover St,12.9
9/9/2022,20:00,Pioneer St/Conover St,27.2
9/11/2022,14:00,Henry St/Mill St,0.4
8/25/2022,8:00,Henry St/Mill St,5.6
8/26/2022,8:00,Henry St/Mill St,3.1
9/2/2022,14:00,Henry St/Mill St,3.1
9/15/2022,14:00,Henry St/Mill St,2.8
9/19/2022,14:00,Henry St/Mill St,0.6
9/21/2022,8:00,Henry St/Mill St,3.1
9/29/2022,14:00,Henry St/Mill St,2.8
10/8/2022,8:00,Henry St/Mill St,3.2
10/17/2022,8:00,Henry St/Mill St,4.3
10/27/2022,20:00,Dwight St/King St,47.1
3/10/2022,19:00,Dwight St/King St,0.8
8/10/2022,8:00,9th St/Smith St,9.1
8/20/2022,2:00,9th St/Smith St,0.4
8/22/2022,2:00,9th St/Smith St,0.4
8/26/2022,14:00,9th St/Smith St,0.5
8/29/2022,20:00,9th St/Smith St,0.4
9/4/2022,2:00,9th St/Smith St,0.4
9/7/2022,14:00,9th St/Smith St,0.7
9/11/2022,20:00,9th St/Smith St,0.4
9/13/2022,2:00,9th St/Smith St,5.2
9/17/2022,20:00,9th St/Smith St,0.4
9/19/2022,20:00,9th St/Smith St,0.7
9/25/2022,20:00,9th St/Smith St,0.4
10/5/2022,2:00,9th St/Smith St,0.4
10/5/2022,14:00,9th St/Smith St,0.6
10/24/2022,20:00,9th St/Smith St,0.5
10/31/2022,2:00,9th St/Smith St,0.6
11/5/2022,2:00,9th St/Smith St,0.6
11/7/2022,1:00,9th St/Smith St,0.8
11/10/2022,1:00,9th St/Smith St,0.7
11/12/2022,1:00,9th St/Smith St,0.6
11/17/2022,19:00,9th St/Smith St,0.6
11/22/2022,13:00,Columbia St/Bay St,0.5
9/17/2020,20:00,Columbia St/Bay St,0.5
9/21/2022,20:00,Columbia St/Bay St,0.4
10/19/2022,20:00,Caroll St/4th Ave,66.4
8/21/2021,20:00,Caroll St/4th Ave,28.6
9/1/2021,20:00,Caroll St/4th Ave,35.6
2/1/2022,19:00,Caroll St/4th Ave,0.8
8/22/2022,20:00,Caroll St/4th Ave,0.8
9/12/2022,20:00,Caroll St/4th Ave,5.6
9/18/2022,20:00,Caroll St/4th Ave,31.8
9/25/2022,20:00,Home St/Intervale Ave,0.4
2/15/2022,19:00, Louis Niñé Bl/Southern Bl,0.8
8/26/2022,20:00, Louis Niñé Bl/Southern Bl,0.4
9/11/2022,20:00, Louis Niñé Bl/Southern Bl,0.6
9/20/2022,20:00, Louis Niñé Bl/Southern Bl,0.4
10/6/2022,20:00,Sheridan Bl/173rd St,0.4
2/22/2022,19:00,Sheridan Bl/173rd St,0.8
7/20/2022,20:00,Sheridan Bl/173rd St,1.2
8/17/2022,20:00,Sheridan Bl/173rd St,0.4
8/21/2022,20:00,Sheridan Bl/173rd St,0.4
9/5/2022,20:00,Sheridan Bl/173rd St,0.5
9/12/2022,20:00,Sheridan Bl/173rd St,0.6
9/15/2022,20:00,Sheridan Bl/173rd St,0.6
9/22/2022,20:00,Sheridan Bl/173rd St,0.5
10/3/2022,20:00,Sheridan Bl/173rd St,0.5
10/6/2022,20:00,Sheridan Bl/173rd St,0.8
10/11/2022,20:00,Sheridan Bl/173rd St,0.8
10/14/2022,20:00,Sheridan Bl/173rd St,0.5
10/20/2022,20:00,Russel St 1,0.5
3/9/2021,19:00,Russel St 1,0.7
3/11/2021,19:00,Russel St 1,1
3/20/2021,20:00,Russel St 1,0.5
3/25/2021,20:00,Russel St 1,0.9
3/28/2021,20:00,Russel St 1,10.2
4/4/2021,20:00,Russel St 1,0.9
4/6/2021,20:00,Russel St 1,0.6
7/23/2021,20:00,Russel St 1,2.4
8/21/2021,20:00,Russel St 1,5.9
10/8/2021,20:00,Russel St 1,8.8
10/10/2021,20:00,Russel St 1,6.5
10/25/2021,20:00,Russel St 1,0.6
12/5/2021,19:00,Russel St 1,2.4
1/1/2022,19:00,Russel St 1,13
1/3/2022,19:00,Russel St 1,8.3
1/7/2022,19:00,Russel St 1,1.6
1/16/2022,19:00,Russel St 1,8.3
1/28/2022,19:00,Russel St 1,4.3
3/6/2022,19:00,Russel St 1,0.8
4/13/2022,20:00,Russel St 1,0.8
4/18/2022,20:00,Russel St 1,8.3
5/16/2022,20:00,Russel St 1,5.9
6/14/2022,20:00,Russel St 1,9.1
7/11/2022,20:00,Russel St 1,3.5
7/14/2022,20:00,Russel St 1,4.7
8/9/2022,20:00,Russel St 1,3.9
8/11/2022,20:00,Russel St 1,8.3
9/7/2022,20:00,Russel St 1,8.3
9/9/2022,20:00,Russel St 1,6.3
9/11/2022,20:00,Russel St 1,2.8
9/29/2022,20:00,Russel St 1,0.8
10/2/2022,20:00,Russel St 1,4.7
10/11/2022,20:00,Russel St 1,0.8
11/24/2022,19:00,Russel St 1,2.8
11/29/2022,19:00,Morningside Av/125th St,5.1
9/3/2022,14:00,Morningside Av/125th St,0.6
9/15/2022,14:00,Morningside Av/125th St,16.8
10/14/2022,20:00,Morningside Av/125th St,0.7
10/26/2022,2:00,Morningside Av/125th St,0.5
11/3/2022,8:00,Morningside Av/125th St,41.8
11/22/2022,7:00,126th St/7th Av,42.9
8/22/2022,8:00,126th St/7th Av,0.5
8/26/2022,14:00,126th St/7th Av,0.7
9/3/2022,2:00,126th St/7th Av,0.5
9/6/2022,8:00,126th St/7th Av,0.5
9/9/2022,20:00,126th St/7th Av,0.6
9/13/2022,8:00,126th St/7th Av,0.4
9/16/2022,14:00,126th St/7th Av,0.8
9/18/2022,20:00,126th St/7th Av,0.8
9/24/2022,20:00,126th St/7th Av,0.6
10/5/2022,8:00, Willow Rd E/Nina Ave,0.5
9/13/2022,2:00, Willow Rd E/Nina Ave,1.8
12/6/2022,7:00, Loop Rd,0.6
8/1/2022,14:00, Loop Rd,10.7
8/11/2022,2:00, Loop Rd,2.4
8/18/2022,14:00, Loop Rd,8.5
8/22/2022,14:00, Loop Rd,9.2
8/28/2022,8:00, Loop Rd,10.3
9/3/2022,14:00, Loop Rd,9.6
9/8/2022,14:00, Loop Rd,9.2
9/13/2022,2:00, Loop Rd,24.7
9/20/2022,8:00, Loop Rd,10.6
9/22/2022,8:00, Loop Rd,10
10/1/2022,14:00, Loop Rd,11.2
10/4/2022,2:00, Loop Rd,14.2
10/11/2022,8:00, Loop Rd,10.3
10/17/2022,8:00, Loop Rd,9.8
10/24/2022,2:00, Loop Rd,9.5
11/1/2022,2:00, Loop Rd,5.1
11/11/2022,13:00, Loop Rd,5.8
11/15/2022,19:00, Loop Rd,5.2
