t,p
11/7/2022 13:00,0
11/7/2022 14:00,0
11/7/2022 15:00,0
11/7/2022 16:00,0
11/7/2022 17:00,0
11/7/2022 18:00,0
11/7/2022 19:00,0
11/7/2022 20:00,0
11/7/2022 21:00,0
11/7/2022 22:00,0
11/7/2022 23:00,0
11/8/2022 0:00,0
11/8/2022 1:00,0
11/8/2022 2:00,0
11/8/2022 3:00,0
11/8/2022 4:00,0
11/8/2022 5:00,0
11/8/2022 6:00,0
11/8/2022 7:00,0
11/8/2022 8:00,0
11/8/2022 9:00,0
11/8/2022 10:00,0
11/8/2022 11:00,0
11/8/2022 12:00,0
11/8/2022 13:00,0
11/8/2022 14:00,0
11/8/2022 15:00,0
11/8/2022 16:00,0
11/8/2022 17:00,0
11/8/2022 18:00,0
11/8/2022 19:00,0
11/8/2022 20:00,0
11/8/2022 21:00,0
11/8/2022 22:00,0
11/8/2022 23:00,0
11/9/2022 0:00,0
11/9/2022 1:00,0
11/9/2022 2:00,0
11/9/2022 3:00,0
11/9/2022 4:00,0
11/9/2022 5:00,0
11/9/2022 6:00,0
11/9/2022 7:00,0
11/9/2022 8:00,0
11/9/2022 9:00,0
11/9/2022 10:00,0
11/9/2022 11:00,0
11/9/2022 12:00,0
11/9/2022 13:00,0
11/9/2022 14:00,0
11/9/2022 15:00,0
11/9/2022 16:00,0
11/9/2022 17:00,0
11/9/2022 18:00,0
11/9/2022 19:00,0
11/9/2022 20:00,0
11/9/2022 21:00,0
11/9/2022 22:00,0
11/9/2022 23:00,0
11/10/2022 0:00,0
11/10/2022 1:00,0
11/10/2022 2:00,0
11/10/2022 3:00,0
11/10/2022 4:00,0
11/10/2022 5:00,0
11/10/2022 6:00,0
11/10/2022 7:00,0
11/10/2022 8:00,0
11/10/2022 9:00,0
11/10/2022 10:00,0
11/10/2022 11:00,0
11/10/2022 12:00,0
11/10/2022 13:00,0
11/10/2022 14:00,0
11/10/2022 15:00,0
11/10/2022 16:00,0
11/10/2022 17:00,0
11/10/2022 18:00,0
11/10/2022 19:00,0
11/10/2022 20:00,0
11/10/2022 21:00,0
11/10/2022 22:00,0
11/10/2022 23:00,0
11/11/2022 0:00,0
11/11/2022 1:00,0
11/11/2022 2:00,0
11/11/2022 3:00,0
11/11/2022 4:00,0
11/11/2022 5:00,0
11/11/2022 6:00,0
11/11/2022 7:00,0
11/11/2022 8:00,0
11/11/2022 9:00,0
11/11/2022 10:00,0
11/11/2022 11:00,0
11/11/2022 12:00,0.003
11/11/2022 13:00,0.007
11/11/2022 14:00,0.008
11/11/2022 15:00,0.006
11/11/2022 16:00,0.053
11/11/2022 17:00,0.129
11/11/2022 18:00,0.093
11/11/2022 19:00,0.015
11/11/2022 20:00,0
11/11/2022 21:00,0
11/11/2022 22:00,0
11/11/2022 23:00,0
11/12/2022 0:00,0
11/12/2022 1:00,0
11/12/2022 2:00,0
11/12/2022 3:00,0
11/12/2022 4:00,0
11/12/2022 5:00,0
11/12/2022 6:00,0
11/12/2022 7:00,0.054
11/12/2022 8:00,0.054
11/12/2022 9:00,0
11/12/2022 10:00,0
11/12/2022 11:00,0
11/12/2022 12:00,0
11/12/2022 13:00,0
11/12/2022 14:00,0
11/12/2022 15:00,0
11/12/2022 16:00,0
11/12/2022 17:00,0
11/12/2022 18:00,0
11/12/2022 19:00,0
11/12/2022 20:00,0
11/12/2022 21:00,0
11/12/2022 22:00,0
11/12/2022 23:00,0
11/13/2022 0:00,0
11/13/2022 1:00,0
11/13/2022 2:00,0
11/13/2022 2:45,0
11/13/2022 3:45,0.001
11/13/2022 4:45,0.001
11/13/2022 5:45,0
11/13/2022 6:45,0
11/13/2022 7:45,0
11/13/2022 8:45,0
11/13/2022 9:45,0
11/13/2022 10:45,0
11/13/2022 11:45,0
11/13/2022 12:45,0
11/13/2022 13:45,0
11/13/2022 14:45,0
11/13/2022 15:45,0
11/13/2022 16:45,0
11/13/2022 17:45,0
11/13/2022 18:45,0
